Type,Days_for _shipping (real),Days_for_shipment (scheduled),Benefit _per_order,Sales_per_customer,Delivery_Status,Late_delivery_risk,Category_Id,Category_Name,Customer_City,Customer_Country,Customer_Fname,Customer_Id,Customer_Lname,Customer_Segment,Customer_State,Department_Id,Department_Name,Latitude,Longitude,Market,Order_City,Order_Country,Order_Customer_Id,order_date (DateOrders),Order_Id,Order_Item_Cardprod_Id,Order_Item_Discount,Order_Item_Discount_Rate,Order_Item_Id,Order_Item_Product_Price,Order_Item_Profit Ratio,Order_Item_Quantity,Sales,Order_Item_Total,Order_Profit_Per Order,Order_Region,Order_State,Order_Status,Product_Card_Id,Product_Category_Id,Product_Name,Product_Price,Product_Status,shipping_date (DateOrders),Shipping_Mode,Delivery_Delay,order_date
TRANSFER,6,2,130.5800018,272.0299988,Shipping canceled,0,73,Sporting Goods,Caguas,Puerto Rico,Germane,19483,Short,Corporate,PR,2,Fitness,18.28284454,-66.03705597,Pacific Asia,Tokio,Japón,19483,1/13/2018 9:00,75930,1360,55.72000122,0.170000002,179245,327.75,0.479999989,1,327.75,272.0299988,130.5800018,Eastern Asia,Tokio,SUSPECTED_FRAUD,1360,73,Smart watch ,327.75,0,1/19/2018 9:00,Second Class,4,1/13/2018 9:00
TRANSFER,5,2,45.68999863,268.7600098,Late delivery,1,73,Sporting Goods,Freeport,EE. UU.,Freya,19482,Robbins,Consumer,NY,2,Fitness,40.65486527,-73.58707428,Pacific Asia,Manado,Indonesia,19482,1/13/2018 8:00,75929,1360,59,0.180000007,179244,327.75,0.170000002,1,327.75,268.7600098,45.68999863,Southeast Asia,Célebes Septentrional,PENDING,1360,73,Smart watch ,327.75,0,1/18/2018 8:00,Second Class,3,1/13/2018 8:00
TRANSFER,4,2,21.76000023,262.2000122,Late delivery,1,73,Sporting Goods,Salinas,EE. UU.,Cassandra,19481,Jensen,Corporate,CA,2,Fitness,36.6763382,-121.656517,Pacific Asia,Manado,Indonesia,19481,1/13/2018 8:00,75928,1360,65.55000305,0.200000003,179243,327.75,0.079999998,1,327.75,262.2000122,21.76000023,Southeast Asia,Célebes Septentrional,PENDING,1360,73,Smart watch ,327.75,0,1/17/2018 8:00,Second Class,2,1/13/2018 8:00
DEBIT,2,1,24.57999992,245.8099976,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,Natalie,19480,Mcfadden,Corporate,PR,2,Fitness,18.27843857,-66.03705597,Pacific Asia,Sangli,India,19480,1/13/2018 8:00,75927,1360,81.94000244,0.25,179242,327.75,0.100000001,1,327.75,245.8099976,24.57999992,South Asia,Maharashtra,COMPLETE,1360,73,Smart watch ,327.75,0,1/15/2018 8:00,First Class,1,1/13/2018 8:00
TRANSFER,2,1,16.38999939,327.75,Late delivery,1,73,Sporting Goods,Peabody,EE. UU.,Kimberley,19479,Sharpe,Corporate,MA,2,Fitness,42.52627564,-70.92703247,Pacific Asia,Sangli,India,19479,1/13/2018 7:00,75926,1360,0,0,179241,327.75,0.050000001,1,327.75,327.75,16.38999939,South Asia,Maharashtra,PROCESSING,1360,73,Smart watch ,327.75,0,1/15/2018 7:00,First Class,1,1/13/2018 7:00
DEBIT,2,1,-259.5799866,324.4700012,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,Sade,19478,Lancaster,Corporate,PR,2,Fitness,18.28404999,-66.03705597,Pacific Asia,Sangli,India,19478,1/13/2018 7:00,75925,1360,3.279999971,0.01,179240,327.75,-0.800000012,1,327.75,324.4700012,-259.5799866,South Asia,Maharashtra,COMPLETE,1360,73,Smart watch ,327.75,0,1/15/2018 7:00,First Class,1,1/13/2018 7:00
PAYMENT,5,2,-246.3600006,321.2000122,Late delivery,1,73,Sporting Goods,Canovanas,Puerto Rico,Brynne,19477,Giles,Corporate,PR,2,Fitness,18.3957901,-65.87288666,Pacific Asia,Seúl,Corea del Sur,19477,1/13/2018 7:00,75924,1360,6.559999943,0.02,179239,327.75,-0.769999981,1,327.75,321.2000122,-246.3600006,Eastern Asia,Seúl,PENDING_PAYMENT,1360,73,Smart watch ,327.75,0,1/18/2018 7:00,Second Class,3,1/13/2018 7:00
CASH,2,1,23.84000015,317.9200134,Late delivery,1,73,Sporting Goods,Paramount,EE. UU.,Ciara,19476,Bird,Corporate,CA,2,Fitness,33.89869309,-118.1745605,Pacific Asia,Jabalpur,India,19476,1/13/2018 6:00,75923,1360,9.829999924,0.029999999,179238,327.75,0.079999998,1,327.75,317.9200134,23.84000015,South Asia,Madhya Pradesh,CLOSED,1360,73,Smart watch ,327.75,0,1/15/2018 6:00,First Class,1,1/13/2018 6:00
DEBIT,2,1,102.2600021,314.6400146,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,Bo,19475,Griffin,Consumer,PR,2,Fitness,18.233778,-66.0370636,Pacific Asia,Jabalpur,India,19475,1/13/2018 6:00,75922,1360,13.10999966,0.039999999,179237,327.75,0.330000013,1,327.75,314.6400146,102.2600021,South Asia,Madhya Pradesh,COMPLETE,1360,73,Smart watch ,327.75,0,1/15/2018 6:00,First Class,1,1/13/2018 6:00
PAYMENT,0,0,87.18000031,311.3599854,Shipping on time,0,73,Sporting Goods,Mount Prospect,EE. UU.,Kim,19474,Simon,Consumer,IL,2,Fitness,42.04830551,-87.96134186,Pacific Asia,Jabalpur,India,19474,1/13/2018 6:00,75921,1360,16.38999939,0.050000001,179236,327.75,0.280000001,1,327.75,311.3599854,87.18000031,South Asia,Madhya Pradesh,PENDING_PAYMENT,1360,73,Smart watch ,327.75,0,1/13/2018 18:00,Same Day,0,1/13/2018 6:00
TRANSFER,0,0,154.8600006,309.7200012,Shipping on time,0,73,Sporting Goods,Long Beach,EE. UU.,Kellie,19473,Farmer,Corporate,CA,2,Fitness,33.78245163,-118.1922455,Pacific Asia,Jabalpur,India,19473,1/13/2018 5:00,75920,1360,18.03000069,0.059999999,179235,327.75,0.5,1,327.75,309.7200012,154.8600006,South Asia,Madhya Pradesh,PROCESSING,1360,73,Smart watch ,327.75,0,1/13/2018 17:00,Same Day,0,1/13/2018 5:00
TRANSFER,5,4,82.30000305,304.8099976,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,Alma,19472,Conley,Corporate,PR,2,Fitness,18.28337669,-66.03705597,Pacific Asia,Jabalpur,India,19472,1/13/2018 5:00,75919,1360,22.94000053,0.07,179234,327.75,0.270000011,1,327.75,304.8099976,82.30000305,South Asia,Madhya Pradesh,PENDING,1360,73,Smart watch ,327.75,0,1/18/2018 5:00,Standard Class,1,1/13/2018 5:00
TRANSFER,4,2,22.37000084,298.25,Late delivery,1,73,Sporting Goods,Rancho Cordova,EE. UU.,Yeo,19471,Bird,Corporate,CA,2,Fitness,38.61177445,-121.2828674,Pacific Asia,Geelong,Australia,19471,1/13/2018 5:00,75918,1360,29.5,0.090000004,179233,327.75,0.079999998,1,327.75,298.25,22.37000084,Oceania,Victoria,PENDING,1360,73,Smart watch ,327.75,0,1/17/2018 5:00,Second Class,2,1/13/2018 5:00
TRANSFER,3,2,17.70000076,294.980011,Shipping canceled,0,73,Sporting Goods,Caguas,Puerto Rico,Lucy,19470,Mcknight,Corporate,PR,2,Fitness,18.20733643,-66.03705597,Pacific Asia,Geelong,Australia,19470,1/13/2018 4:00,75917,1360,32.77999878,0.100000001,179232,327.75,0.059999999,1,327.75,294.980011,17.70000076,Oceania,Victoria,CANCELED,1360,73,Smart watch ,327.75,0,1/16/2018 4:00,Second Class,1,1/13/2018 4:00
TRANSFER,2,2,90.27999878,288.4200134,Shipping canceled,0,73,Sporting Goods,Billings,EE. UU.,Simone,19469,Vance,Corporate,MT,2,Fitness,45.78831101,-108.5594101,Pacific Asia,Brisbane,Australia,19469,1/13/2018 4:00,75916,1360,39.33000183,0.119999997,179231,327.75,0.310000002,1,327.75,288.4200134,90.27999878,Oceania,Queensland,SUSPECTED_FRAUD,1360,73,Smart watch ,327.75,0,1/15/2018 4:00,Second Class,0,1/13/2018 4:00
DEBIT,6,2,131.1699982,285.1400146,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,Roary,19468,Wheeler,Corporate,PR,2,Fitness,18.26163292,-66.03705597,Pacific Asia,Mandurah,Australia,19468,1/13/2018 4:00,75915,1360,42.61000061,0.129999995,179230,327.75,0.460000008,1,327.75,285.1400146,131.1699982,Oceania,Australia Occidental,COMPLETE,1360,73,Smart watch ,327.75,0,1/19/2018 4:00,Second Class,4,1/13/2018 4:00
TRANSFER,5,2,90.54000092,278.5899963,Late delivery,1,73,Sporting Goods,Wilkes Barre,EE. UU.,Quail,19467,Ashley,Consumer,PA,2,Fitness,41.23545456,-75.86985779,Pacific Asia,Mandurah,Australia,19467,1/13/2018 3:00,75914,1360,49.15999985,0.150000006,179229,327.75,0.330000013,1,327.75,278.5899963,90.54000092,Oceania,Australia Occidental,PENDING,1360,73,Smart watch ,327.75,0,1/18/2018 3:00,Second Class,3,1/13/2018 3:00
PAYMENT,4,4,82.58999634,275.3099976,Shipping on time,0,73,Sporting Goods,Caguas,Puerto Rico,Hannah,19466,Velez,Corporate,PR,2,Fitness,18.27022362,-66.0370636,Pacific Asia,Guilin,China,19466,1/13/2018 3:00,75913,1360,52.43999863,0.159999996,179228,327.75,0.300000012,1,327.75,275.3099976,82.58999634,Eastern Asia,Guangxi,PENDING_PAYMENT,1360,73,Smart watch ,327.75,0,1/17/2018 3:00,Standard Class,0,1/13/2018 3:00
DEBIT,3,4,-17.13999939,272.0299988,Advance shipping,0,73,Sporting Goods,Roseville,EE. UU.,Evelyn,19465,Kelly,Corporate,MI,2,Fitness,41.86886215,-84.57365418,Pacific Asia,Guilin,China,19465,1/13/2018 3:00,75912,1360,55.72000122,0.170000002,179227,327.75,-0.059999999,1,327.75,272.0299988,-17.13999939,Eastern Asia,Guangxi,COMPLETE,1360,73,Smart watch ,327.75,0,1/16/2018 3:00,Standard Class,-1,1/13/2018 3:00
TRANSFER,2,4,23.64999962,268.7600098,Advance shipping,0,73,Sporting Goods,Bellflower,EE. UU.,Jael,19464,Mcfarland,Consumer,CA,2,Fitness,33.90942383,-118.1253586,Pacific Asia,Guilin,China,19464,1/13/2018 2:00,75911,1360,59,0.180000007,179226,327.75,0.090000004,1,327.75,268.7600098,23.64999962,Eastern Asia,Guangxi,PROCESSING,1360,73,Smart watch ,327.75,0,1/15/2018 2:00,Standard Class,-2,1/13/2018 2:00
DEBIT,6,4,73.41999817,262.2000122,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,Teagan,19463,Romero,Consumer,PR,2,Fitness,18.27526093,-66.0370636,Pacific Asia,Guilin,China,19463,1/13/2018 2:00,75910,1360,65.55000305,0.200000003,179225,327.75,0.280000001,1,327.75,262.2000122,73.41999817,Eastern Asia,Guangxi,ON_HOLD,1360,73,Smart watch ,327.75,0,1/19/2018 2:00,Standard Class,2,1/13/2018 2:00
DEBIT,5,4,113.0699997,245.8099976,Late delivery,1,73,Sporting Goods,Wheaton,EE. UU.,Joan,19462,Wilder,Consumer,IL,2,Fitness,41.86544037,-88.10990143,Pacific Asia,Delhi,India,19462,1/13/2018 1:00,75909,1360,81.94000244,0.25,179224,327.75,0.460000008,1,327.75,245.8099976,113.0699997,South Asia,Delhi,COMPLETE,1360,73,Smart watch ,327.75,0,1/18/2018 1:00,Standard Class,1,1/13/2018 1:00
PAYMENT,4,4,24.57999992,327.75,Shipping on time,0,73,Sporting Goods,Caguas,Puerto Rico,Basia,19461,Watts,Consumer,PR,2,Fitness,18.28713608,-66.03705597,Pacific Asia,Delhi,India,19461,1/13/2018 1:00,75908,1360,0,0,179223,327.75,0.079999998,1,327.75,327.75,24.57999992,South Asia,Delhi,PENDING_PAYMENT,1360,73,Smart watch ,327.75,0,1/17/2018 1:00,Standard Class,0,1/13/2018 1:00
DEBIT,2,1,-97.33999634,324.4700012,Late delivery,1,73,Sporting Goods,Detroit,EE. UU.,Dominique,19460,Rogers,Consumer,MI,2,Fitness,42.39110184,-83.13121796,Pacific Asia,Suzhou,China,19460,1/13/2018 1:00,75907,1360,3.279999971,0.01,179222,327.75,-0.300000012,1,327.75,324.4700012,-97.33999634,Eastern Asia,Gansu,COMPLETE,1360,73,Smart watch ,327.75,0,1/15/2018 1:00,First Class,1,1/13/2018 1:00
PAYMENT,2,1,-425.5799866,321.2000122,Late delivery,1,73,Sporting Goods,Dallas,EE. UU.,Ainsley,19459,Mathis,Consumer,TX,2,Fitness,32.86539459,-96.86858368,Pacific Asia,Suzhou,China,19459,1/13/2018 0:00,75906,1360,6.559999943,0.02,179221,327.75,-1.330000043,1,327.75,321.2000122,-425.5799866,Eastern Asia,Gansu,PENDING_PAYMENT,1360,73,Smart watch ,327.75,0,1/15/2018 0:00,First Class,1,1/13/2018 0:00
PAYMENT,2,1,152.6000061,317.9200134,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,Aurora,19458,Sharp,Corporate,PR,2,Fitness,18.24074173,-66.03705597,Pacific Asia,Singapur,Singapur,19458,1/13/2018 0:00,75905,1360,9.829999924,0.029999999,179220,327.75,0.479999989,1,327.75,317.9200134,152.6000061,Southeast Asia,Singapur,PENDING_PAYMENT,1360,73,Smart watch ,327.75,0,1/15/2018 0:00,First Class,1,1/13/2018 0:00
CASH,2,1,151.0299988,314.6400146,Late delivery,1,73,Sporting Goods,Carlisle,EE. UU.,Libby,19457,Bray,Corporate,PA,2,Fitness,40.03171921,-76.87709808,Pacific Asia,Hubli,India,19457,1/13/2018 0:00,75904,1360,13.10999966,0.039999999,179219,327.75,0.479999989,1,327.75,314.6400146,151.0299988,South Asia,Karnataka,CLOSED,1360,73,Smart watch ,327.75,0,1/15/2018 0:00,First Class,1,1/13/2018 0:00
DEBIT,2,1,62.27000046,311.3599854,Late delivery,1,73,Sporting Goods,Dallas,EE. UU.,Amy,19456,Lindsay,Corporate,TX,2,Fitness,32.81010819,-96.68649292,Pacific Asia,Wollongong,Australia,19456,1/12/2018 23:00,75903,1360,16.38999939,0.050000001,179218,327.75,0.200000003,1,327.75,311.3599854,62.27000046,Oceania,Nueva Gales del Sur,COMPLETE,1360,73,Smart watch ,327.75,0,1/14/2018 23:00,First Class,1,1/12/2018 23:00
DEBIT,1,0,35,309.7200012,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,Ivory,19455,Parks,Consumer,PR,2,Fitness,18.28604889,-66.03705597,Pacific Asia,Wollongong,Australia,19455,1/12/2018 23:00,75902,1360,18.03000069,0.059999999,179217,327.75,0.109999999,1,327.75,309.7200012,35,Oceania,Nueva Gales del Sur,COMPLETE,1360,73,Smart watch ,327.75,0,1/13/2018 11:00,Same Day,1,1/12/2018 23:00
TRANSFER,1,0,57.29999924,304.8099976,Shipping canceled,0,73,Sporting Goods,Newark,EE. UU.,Karina,19454,Prince,Consumer,DE,2,Fitness,39.68188095,-75.64421082,Pacific Asia,Wollongong,Australia,19454,1/12/2018 23:00,75901,1360,22.94000053,0.07,179216,327.75,0.189999998,1,327.75,304.8099976,57.29999924,Oceania,Nueva Gales del Sur,CANCELED,1360,73,Smart watch ,327.75,0,1/13/2018 11:00,Same Day,1,1/12/2018 23:00
PAYMENT,1,0,143.1600037,298.25,Late delivery,1,73,Sporting Goods,Panorama City,EE. UU.,Deanna,19453,Goff,Consumer,CA,2,Fitness,34.15893936,-118.1809387,Pacific Asia,Singapur,Singapur,19453,1/12/2018 22:00,75900,1360,29.5,0.090000004,179215,327.75,0.479999989,1,327.75,298.25,143.1600037,Southeast Asia,Singapur,PENDING_PAYMENT,1360,73,Smart watch ,327.75,0,1/13/2018 10:00,Same Day,1,1/12/2018 22:00
DEBIT,1,0,135.6900024,294.980011,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,Dacey,19452,Walters,Home Office,PR,2,Fitness,18.28294563,-66.0370636,Pacific Asia,Singapur,Singapur,19452,1/12/2018 22:00,75899,1360,32.77999878,0.100000001,179214,327.75,0.460000008,1,327.75,294.980011,135.6900024,Southeast Asia,Singapur,COMPLETE,1360,73,Smart watch ,327.75,0,1/13/2018 10:00,Same Day,1,1/12/2018 22:00
CASH,4,4,132.6699982,288.4200134,Shipping on time,0,73,Sporting Goods,Atlanta,EE. UU.,Adele,19451,Pennington,Home Office,GA,2,Fitness,33.81632614,-84.44550324,Pacific Asia,Medan,Indonesia,19451,1/12/2018 22:00,75898,1360,39.33000183,0.119999997,179213,327.75,0.460000008,1,327.75,288.4200134,132.6699982,Southeast Asia,Sumatra Septentrional,CLOSED,1360,73,Smart watch ,327.75,0,1/16/2018 22:00,Standard Class,0,1/12/2018 22:00
PAYMENT,3,4,119.7600021,285.1400146,Advance shipping,0,73,Sporting Goods,Caguas,Puerto Rico,Sybill,19450,Spencer,Home Office,PR,2,Fitness,18.24103928,-66.0370636,Pacific Asia,Medan,Indonesia,19450,1/12/2018 21:00,75897,1360,42.61000061,0.129999995,179212,327.75,0.419999987,1,327.75,285.1400146,119.7600021,Southeast Asia,Sumatra Septentrional,PENDING_PAYMENT,1360,73,Smart watch ,327.75,0,1/15/2018 21:00,Standard Class,-1,1/12/2018 21:00
DEBIT,2,4,31.47999954,278.5899963,Advance shipping,0,73,Sporting Goods,Fremont,EE. UU.,Kay,19449,Sandoval,Consumer,CA,2,Fitness,37.49027634,-121.9271088,Pacific Asia,Canberra,Australia,19449,1/12/2018 21:00,75896,1360,49.15999985,0.150000006,179211,327.75,0.109999999,1,327.75,278.5899963,31.47999954,Oceania,Territorio de la Capital Australiana,COMPLETE,1360,73,Smart watch ,327.75,0,1/14/2018 21:00,Standard Class,-2,1/12/2018 21:00
TRANSFER,6,4,86.16999817,275.3099976,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,Stacy,19448,Mckinney,Corporate,PR,2,Fitness,18.26469612,-66.03705597,Pacific Asia,Bangalore,India,19448,1/12/2018 21:00,75895,1360,52.43999863,0.159999996,179210,327.75,0.310000002,1,327.75,275.3099976,86.16999817,South Asia,Karnataka,PENDING,1360,73,Smart watch ,327.75,0,1/18/2018 21:00,Standard Class,2,1/12/2018 21:00
TRANSFER,5,2,130.5800018,272.0299988,Late delivery,1,73,Sporting Goods,Rochester,EE. UU.,Marah,19447,Lara,Corporate,NY,2,Fitness,43.18824005,-77.56706238,Pacific Asia,Bangalore,India,19447,1/12/2018 20:00,75894,1360,55.72000122,0.170000002,179209,327.75,0.479999989,1,327.75,272.0299988,130.5800018,South Asia,Karnataka,PENDING,1360,73,Smart watch ,327.75,0,1/17/2018 20:00,Second Class,3,1/12/2018 20:00
TRANSFER,4,4,0,268.7600098,Shipping on time,0,73,Sporting Goods,Dallas,EE. UU.,Taylor,19446,Wood,Corporate,TX,2,Fitness,32.753685,-96.86553955,Pacific Asia,Yiwu,China,19446,1/12/2018 20:00,75893,1360,59,0.180000007,179208,327.75,0,1,327.75,268.7600098,0,Eastern Asia,Zhejiang,PROCESSING,1360,73,Smart watch ,327.75,0,1/16/2018 20:00,Standard Class,0,1/12/2018 20:00
PAYMENT,5,2,-30.75,115.1800003,Late delivery,1,17,Cleats,Bayamon,Puerto Rico,Mary,9083,Frank,Home Office,PR,4,Apparel,18.38011932,-66.18312836,Pacific Asia,Mirzapur,India,9083,2/24/2016 13:00,28744,365,4.800000191,0.039999999,71956,59.99000168,-0.270000011,2,119.9800034,115.1800003,-30.75,South Asia,Uttar Pradesh,PENDING_PAYMENT,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,2/29/2016 13:00,Second Class,3,2/24/2016 13:00
PAYMENT,2,2,-122.7300034,79.18000031,Shipping on time,0,29,Shop By Sport,Caguas,Puerto Rico,Mary,4741,Smith,Home Office,PR,5,Golf,18.23557282,-66.3706131,Pacific Asia,Bursa,Turquía,4741,10/25/2016 14:00,45461,627,0.800000012,0.01,113598,39.99000168,-1.549999952,2,79.98000336,79.18000031,-122.7300034,West Asia,Bursa,PENDING_PAYMENT,627,29,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,10/27/2016 14:00,Second Class,0,10/25/2016 14:00
PAYMENT,6,2,33.59999847,96,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,Elizabeth,639,Pittman,Home Office,PR,5,Golf,18.02536774,-66.61303711,Pacific Asia,Murray Bridge,Australia,639,3/30/2016 4:00,31115,502,4,0.039999999,77757,50,0.349999994,2,100,96,33.59999847,Oceania,Australia del Sur,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,0,4/5/2016 4:00,Second Class,4,3/30/2016 4:00
PAYMENT,2,2,24.69000053,75.98000336,Shipping on time,0,29,Shop By Sport,Caguas,Puerto Rico,Katherine,9702,Tyler,Home Office,PR,5,Golf,18.27383804,-66.37063599,Pacific Asia,Kartal,Turquía,9702,10/30/2016 1:00,45766,627,4,0.050000001,114401,39.99000168,0.330000013,2,79.98000336,75.98000336,24.69000053,West Asia,Estambul,PENDING_PAYMENT,627,29,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,11/1/2016 1:00,Second Class,0,10/30/2016 1:00
PAYMENT,3,2,9.100000381,91,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,Mary,9114,Smith,Home Office,PR,5,Golf,18.2848053,-66.37059021,Pacific Asia,Ulan Bator,Mongolia,9114,11/28/2016 1:00,47752,502,9,0.090000004,119405,50,0.100000001,2,100,91,9.100000381,Eastern Asia,Ulán Bator,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,0,12/1/2016 1:00,Second Class,1,11/28/2016 1:00
PAYMENT,5,2,-21.75,87,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,Dennis,1362,Smith,Home Office,PR,5,Golf,18.29496765,-66.37050629,Pacific Asia,Estambul,Turquía,1362,12/31/2016 15:00,50054,502,13,0.129999995,125135,50,-0.25,2,100,87,-21.75,West Asia,Estambul,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50,0,1/5/2017 15:00,Second Class,3,12/31/2016 15:00
